Year,Units,Betrachtetes Einkommen,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,40.9
2021,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,45.5
2022,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,46.0
2023,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,46.1
2024,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,47.7
2025,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,41.3
2020,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,30.5
2021,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,31.2
2022,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,29.0
2023,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,29.4
2024,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,29.5
2025,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,30.1
2020,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,10.4
2021,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,14.3
2022,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,17.0
2023,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,16.7
2024,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,18.2
2025,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,11.2
